,Reviews
441,I have never seen a show quite like this. It's like your watching it for REAL!
442,"Surprized that my search for a good movie ended here!

I will talk about this series until my last breath!"
443,"This is one series that has only ever grown better with each season that has passed.

It's beautiful, it's brutal at times and it's white-knuckle exciting!

I cannot wait for the next season, although knowing it will be the final of the series makes it heartbreaking also."
444,10/10 no question from start all the way to season 7. Riveting fantasy that feels feels. The acting is of another world and the directing is a master piece. Enjoy the ride.
445,"My initial rating was a solid 10, but while watching seasons 5-7 I was tempted to lower my rating even more.

I was a fan of the show, before I was a fan of the books, but I fell in love with the beautiful writing of George RR Martin. Even in a world of dragons and blood magic, there is realism that can be found in the story. There are no ""bigger than life"" characters, but instead flawed human beings that you can actually empathy with.

This is why, when I was seeing all the opportunities the show runners missed or choose to miss and some of Martin's cleverly crafted storylines turned to failures (see Dorne, the Greyjoys and even Daenerys character development at times) I was disappointed to say the least.

Non the less Game of Thrones is an excellent show. The cinematography, special effects and direction are breathtaking at times (see Battle of the Bastards episode) as a lot of people have pointed out before me.

I understand the difficulty of transferring Martin's immense fictional world to screen and at this point I have chosen to separate the show from the books (as the show runners clearly intend) and regard them as two totally different things.

If anyone misses the suspense of earlier seasons, I recommend reading the books. They are about 1000 pages each, but we all have to wait until 2019 anyway and winter is coming."
446,Honestly I can't ask for more...but this is the BEST FANTASTIC show I had ever been watching...and I definitely interested to watch the show all over again and when I watch this I get hooked up with DRAGONS!!! I won't get tired of this but this show everyone in the family room felt so real of believing that what would happen if this fantasy take place in real LIFE!!!??
447,"One of the best TV series I have ever seen in my whole life. Actors work perfectly,plot in each season is better. Waiting for new season."
448,"Game of thrones created by George R. R. Martin's series of fantasy novels. The novel itself was the best seller and loved by everyone. George R. R. Martin did not stop by just the book. A TV show has started in 2011 by HBO. television series created by David Benioff and D. B. Weiss. The Game of Thrones was hit the rating from the first season the show is been growing more and more as the season is building. The massive adventure,cool action and awesome character build. Game of thrones is now the most viewed and most popular show ever."
449,"After watching the first season I have not been able to emotionally connect with a single line or character. It seems that the dwarf is the most sympathetic figure, every one else being either weak or false or dead by the end of the season. The plot is chaotic. Amount of violence is on par with Spartacus: Blood And Sand. Nudity is corruptive and mostly unjustified. Power is the name of the game. Sean Bean is probably the best actor in the series. Yet, this is far off his performance in LOR. The only thing I could connect with were beautiful landscapes of Malta where some scenes were shot. I would rather recommend Rome series, which has a superior plot line and character build."
450,"Repetitive, boring, more appearance than content (like most of HBO's hits, it's more a video clip than something with sense), extraordinarily overrated. Booooooooring"
451,"Have to say that shortly after the start of season five I have become weary of so much sadistic violence over and over again and not anything good ever happening. The story line keeps dragging on and on with seemingly only new angles on just what different and graphic forms of killing and mutilation can be devised and delivered with optimum special effects. It is a game of thrones and a game where not only nobody wins but just how badly everyone loses, one at a time, told in layered story groupings, episode after episode. Enough already. Apparently this is what keeps the series ratings high and I just no longer want to be a part of this feed so goodbye Game of Thrones."
452,"Sadly, I already finished the books, so my expectations were bigger. The books are great and anyone who wants to feel the real thrill of the series should read those.

Overall the series are OK, but ""haste"" is the overwhelming feeling, like everything was done in a hurry, some of the actors seem to be paid for words per minute, rather than performance.

The plots, intrigues, betrayals are described in an excellent manner in the books, but the series keep a rather thin line of those, concentrating more on sex, violence and non-important eye-catching aspects. They missed many important things from books in my opinion, things that would have lead to a better understanding of main plot and of some characters.

On top of these, HBO Romania managed to make 31 translation errors in 2 episodes, 10 of them being severe. ""Calapono"" instead of ""Khal Pono"" for example. Too many for any television that has any respect for it's viewers. The one that translated never touched the books.

10 episodes per book are too few to capture the magic described by Martin. I strongly recommend the books."
453,"This is our contemporary situation in a nutshell. People are meat that entertain you or they are worth nothing. See a woman degrading herself for you? Great. Just grab it.

I've always thought soccer was the most eloquent statement about the current odious state of the human condition, but this show might just have it beat. Again, though, like many Tarantino movies, this could be an useful screening device for new dates. Anyone that likes this is dead behind the eyes and sees you totally in terms of an object that can do things to satisfy them.

Purest narcissistic solipsism."
454,"Can't see why this is so popular and gets such a high score on IMDb! At rare instances it is fairly enjoyable but most of the time it moves forward in such a slow pace that you will ask yourself over and over again; why are people so crazy about this show? Disturbs me that it has a rating close to Breaking Bad, which has rightfully earned a high score (I give it 10/10). I wonder if it is the teenagers enjoying the quite frequent display of tits and ass?

It's a high budget production which shows and most of the actors do a decent job even though I find Peter Dinklage to weak an actor to have such a high profile on the show.

Game of thrones is a sleeping pill and the occasional exciting moments are not worth it.

Now that I have started watching it I can't stop, sleeping pill or not, I still want to know how it ends."
455,"The greatest show I have ever seen. I watched it as it was coming out episode by episode but wasn't able to watch season 6. Before the premiere of season 8, I went thru and rewatched the show in its entirety. Some times as many as a whole season in a day. The show has all the elements that make for a great show. Humor, devastating sadness, edge of your seat excitement and a great, gripping storyline. I laughed, I cried thug tears, I stood up and clapped and I sat back and grinned with pride. I grew to love (almost) all the characters in one way or another. Peter Dinklage, Kit Harington and Emilia Clark were amazing and played their roles to perfection. There will never be another show like Game Of Thrones. I wish I had more hands so I can give this show 4 thumbs up. I highly recommend this show to anyone who likes TV. You don't have to be someone who likes fantasy, I'm not."
456,"This review, hopefully adding a unique insight, is about slipping quality of Game of Thrones, from the flawless 1st to 4th seasons. To the excellent 5th-6th, where source material was thinning and signs were showing of uncertainty. To the 7th and 8th seasons, where there has been an obvious drop in the quality of the show.

Essentially the prime, and mostly obvious reason for the fall of this show is that the creators have been forced to deviate away from the source material, due to that fact that there wasn't anymore. The quality that has taken Martin years to painstakingly forge, now has to be created by a team of Hollywood heads who have had formulas pumped into their brains as to how to write an engaging show. In their defense, the show runners are trying to create a standard of writing in the space of a year that is not possible.

But the primary problem not that, it is that these producers of the show have set and ending schedule. They have had to write out a way that this show will end. This means that plot points will have to be carefully mapped out and that character behaviour and motive will have to align with how the producers plan to end the show. This is the biggest mistake they have made. On the other hand George R. R. Martin has constantly driven the story through the character's behaviour and motive. The characters were so real and so believable and so deep because they were not locked into a narrative. The story was so engaging, because, like the people driving it, it was unpredictable. People are so complex, we never know how they are going to react or behave. We look at all of the pressures and circumstances that Martins characters were under, and we see why they made the decisions that they made. The story was shaped this way. It had a beautiful organic nature about it. Once Martin's source material was exhausted, the writers not only had to substitute their own limited imaginations over that of a genius, but they had to do it in a very short time. More importantly they made the mistake of wedging characters into plot points. Character motives and actions now secondary. Their depth, and potential influence on the story now brushed away with insincere dialogue and actions in order to fit their long establish role into the the plot box that has now been predetermined for them. That is where the wheels came off this masterpiece, sadly. Simply, put, the plot was put before the characters. The rushed finale of the show was unavoidable given that the books weren't finished and actors age. On a positive note, the show on it's own merit is still good, I still like it, albeit with an ever present disappointment in what could have been. The sets and costumes are as magnificent as ever. But if I'm right the potential for a quality GOT prequel is very high, there is hope!"
457,"I admit I am a late bloomer to watching GoT. I have always wanted to, but living in a different country for the first few years after it premiered prevented me from seeing it. I just started it in January of this year and wow, I never realized how much I was truly missing. This show is incredible. The acting, storylines, shock value... I don't think any other show can ever live up to Got's overall strengths. It can be hard to keep track of the characters but once you get a few episodes in you're hooked. Yes, I'm not going to be in denial, some episodes were boring, but that doesn't detract from the majority of the amazing episodes. I feel bad for people who had to wait a year in between (and 2 years from the last) between seasons. I felt spoiled being able to binge watch the show in about a month. If you're one of those ""I can't start now because I'm so behind"" people, don't be! I promise you will love it and I'm hindsight you will be like how did I ever survive. Literally the best show ever."
458,"Best TV show in the world ever. When it ends, I am going to cry. No joke."
459,The best show ever undoubtedly and will be looked upon by generations to come
460,This show just get better and better. I'm glad that I'm alive to watch this show.
461,"I tried to watch GOT a Few years back and made it through about 20 minutes before I changed the channel, disgusted by an overhyped series that garnered more attention than any other show before it. I admit, I was apprehensive before I even started it and my perception was that it sucked so it truly didn't stand a chance. Fast forward to spring of 2018, my friend was watching the first episode, right about where I had turned it off, and I expressed my aforementioned opinion of it to him. He implored me to give it another try. So I did, with an open mind, and a better attitude, GOT quickly became not only a GREAT show, but it was inciting extreme interest like no other series I had ever experienced. So began the binging, and it didn't stop until I was out of new content. This show has a unique way of presenting characters that at first, you can't stand, but come to love and cheer for as the story unfolds. In fact, the characters I disliked the most, typically became my favorites and that was a clever and deliberate dynamic that keeps on coming and is only the beginning of so many in this formula. The writing and story arcs are absolutely some of the finest I've ever experienced and again, the character development is in a class of its own. The biggest and possibly only blaring issue I have with GOT is that it's coming to an end, but that's also what makes this show such a treasure to so many people. I've never really ""bought in"" to the high fantasy genre over the years. In fact, it was always probably my least favorite of them all. I hope this review can inspire more viewers like me, who have either been closed minded due to the hype surrounding it, or some other reason to give this masterpiece a chance to win them over. GAME OF THRONES is my absolute favorite series EVER and I can't express enough just how unique and original it is. Through this experience, I've come to understand as it relates to GOT, there are two types of people in this world: those who LOVE it, and those who haven't seen it yet. Winter is coming....."
462,"Ok , so I stumbled upon ""A Song of Ice and Fire"" after reading the first Dunk & Egg novella in the graphic novel adaptation. Since reading the first book, I thought Martin had just redefined sooooo many standards in Fantasy literature but, at the end of the day , had written an incredibly complex and masterful story, period

Then news started to come out about TV adaptation - that was really, REALLY frightening. The complexitiy , the subtelty, the richness, the vastness of Martin's work was so hard to handle that I was fearing for the worst.

I mean, how can you possibly transport Tyrion form page to screen without loosing the characther soul, spirit , wit and depht? That's the kind of things I was worried about.

So episode 1 was finally on the air, and when I sat and started to watch it I was prepared for the worst.

But them I saw the Men of the Black Watch getting trough the tunnel. No words spoken, no sounds but the horses' hoofs softly clopping the snow-covered soil. I just needed to see THAT first sequence to relax and dismiss all my fears. I said to my self : ""the lads REALLY know what they're doing"". I watched the rest of episode 1 with half a smile on my lips, every charachter/actor choiche was incredible, and the small details diverting from the books - like Sean Bean dirty blonde hair vs. Ned's black ones - were completely overriden by the actors' performances. And of course after witnessing Dinklage doing his things the imagine of Tyrion I had in my mind was definitely transformed into a new, Dinklage-ish version

Having said that, I still think the Dorne plot was miserable -even if Pedro was in-fu*§ing-credible as the Red Viper - so there are still thing in this show that can be put down to an human level......but overall this is still the closest thing to perfection one can imagine"
463,Looking forward for closing.. and more unexpectedness and charm
464,"I finally caught up with everyone to see the legendary Game of Thrones myself. I'm intrigued to see how the story folds in the final season in the following spring.

I watched this series without the actual hype train, which I believe to be a good thing. Game of Thrones is a strong player in the genre of fantasy and mystical creatures. It has some strong characters and interesting, complicated plot lines.

However from the very beginning of the show I had a hard time finding my favorite characters. I don't know if it's because of the ruthlessness of the era or just the fact that the milieu is so far from my own reality - I couldn't find anyone to like. The characters are mean, hyper sexual and somewhat blank. Although the acting work in Game of Thrones is amazing, I feel some of the characters fall kinda flat - but that's for the writing to blame in my opinion. Also due to the short lifespan of the characters I found it hard to get actually attached to anyone.

Some of the episodes are too slow for my taste and there are a couple of scenes that are made with unnecessary gore.

Game of Thrones is a strong drama with a unique and intriguing plot. It has its flaws and you might benefit watching it with someone who already knows what's going on (ie. has read the books or watched the series at least once). The relations of the characters are a total chaos and you'll probably struggle with memorizing the places and families for the first two seasons... let alone adding up all the magic and creatures to this whole mess.

Game of Thrones is something I'd watch once. I won't go back to it, but I recommend it with a hand to my heart. (And don't worry, even I found my own favourites after season 7)"
465,"Can't wait for Season 8! The Night king is really mysterious which kind of bums me out cause his intentions are unknown. Otherwise love the CGI for the Dragons, White Walkers etc. Battle sequences are breath taking."
466,The cast is superb. This will open fan eyes to a new dimension. Organised as a religion. You will never see an intriguing TV series like this even in next decade.
467,Getting in to the world of game of thrones is very easy and you will get lost in it re watching never gets old
468,Usually i don't watch fantasy movies and TV series .But this Amazing work is an Exeption . Damn !! I enjoyed every minute of this Piece of Art .and i'm so exited for the finale season
469,The fantastic from George R R Martin is fantasy at his best. Great actors great action sometimes fantasy (dragons white walker). Often you can believe what you see... epic!
470,It have everything you want. If you are a human you need to see this
471,The only negative issue on this serie is the time we have to wait for next season!
472,Perfect tv show nothinh like it love it the most Must watch
473,"Before i watch got , I don't know what is series , all series begore got are juck , very very good, special denerys & john , got is life"
474,I love this show and will continue to watch it. :) King of the North Kit Harington. Oh nooo Sophie Turner. Game of thrones Game of Thrones (2011).
475,"Wasn't really my genre and it starts really slow. But season 7 is a solid 11/10, the best season I have ever seen in my life. It basically gets better and better. And has a ton of epic moments"
476,"As a huge fan I find this furiating: One can't help but wonder why they wanted to breeze through the books this fast where they clearly should've make multiple seasons per book and patiently wait for the last books to finish. And now they're trying to come up with multiple non-George R.R. Martin spin-offs as if there wasn't enough material? How about giving us everything we missed instead?? None the less, still one of the top series of all time."
477,Like this very much. And enjoy the time. I want this for 5 times. And read the book
478,"This is might not be the most thought provoking show or best written but my gods it's fun unless you don't like blood and guts . And let me be clear about it's fun , you not having fun when you see people get tortured or something but it's fun because it's a world that doesn't exist unlike realistic shows such as the wire, breaking or the sopranos. It also has for the most part a great plot line especially in my opinion at kings landing. Also if you like big fights dear. god you have to watch the show. The only reason I am not giving this a 10 out of 10 is because of season 7 wich got really stupid. But for the most part this is very fun show to watch if you don't mind violence and sex"
479,Waiting for last season :) I dont like it will not be aired this year. I could take 1 point cos of that!
480,The actors on the show are very good and it has lots of good scenes in the show to and i high recommend you watch the show because if you do not watch it you are missing out on one of the best shows out and they is lots of very interesting things in the show.
481,"Just EPIC.The story is the highlight of the series. ""GOT"" is an amazing TV series. It's full of adventures action, history, drama, magic. The series has a variety of unexpected Plots and turns that'll leave you Struck and in Shock. Every Season is itself an amazing. Writing, Direction everything is PERFECT. It's Awesome. I'm disappointed that we have so long to wait until 2019 season 8 comes out."
482,"Only one word can describe this phenomenon, it is ""Masterpiece"" . We can discuss about what ""Masterpiece"" means, but not contest its title."
483,This tv show is probably the best in his category but the main problem is that the season 8 starts after a year from the season 7 ended and that's really sad for the fans
484,"What. A. Show.

Arguably the defining television show of the last decade, Game of Thrones deserves every accolade it receives. Focusing on the rivalry and feudal affairs of the Great Houses of Stark, Lannister, Baratheon and Targaryen, this show is both captivating for its action-packed set pieces and fit to bursting with emotional depth and intrigue.

A five star show from beginning to end, the cinematic-styled action pieces are unrivalled in their epic nature, in comparison to other television shows of this moment. Characters are well-defined and explored in an interesting and compelling way, keeping you guessing as to which avenue they will ultimately take, and whose side they are really on. Characters are evolved, storylines take unexpected twists and turns, and heroes are never, EVER safe.

This series is one that should not be missed. Once you start it, you'll be hooked and begging for more."
485,"Quality that adresses almost every problem in society with deep, real characters and excellent dialogues, but not in a teaching way and that is why many people do not get its meanings. People who deal with problems like scaring, crippling, fat issues, women not treated as equals, people who are misuderstood because they do not expain their actions or are realists, people with ideals, injustice, religion in its good and bad form, people born with problems, racism...everything adressed very well here..."
486,Everything in this tv-series is good enough to say absolutely fantastic job!
487,""" The Best show on TV which was based on Best Fantasy series in Print. The Show like the books have it all: intrigue on grand scale, treachery, murder, betrayal, war, terror, dark magic and darker deeds, brutal violence and steamy sex with cast unforgettable characters that live and breath!"
488,"The best series of all time Game of thrones ,the best series i have ever watched, filled with a lot of great and new ideas ,even though i didn't read the books that the story came from but everything is there in the show, i'm always waiting for the last season and can't even predict what's going to happen next, because if i did as always R.R. Martin will shock me again as he always did in the last seasons.

I have read a lot of other reviews and i'm surprised about what they say on nudity scenes , i totally agree with the existence of these scenes because they show the reality of what the world was like once upon a time and if it disturbs someone ,i'm sure there are a lot of family versions that contains less sexual contents.

Everything in the series was excellent(cast,actors,special effects ,soundtracks...) and everything was well done in the well known HBO way. I'm so eagerly waiting for the great finally of the last season and hope it would be as good as we used to see in other seasons,because after this one ,who knows when are we going to witness another great show as GAME OF THRONES."
489,"I love fantasy stories, but recently the only stuff to come out of Hollywood is full of porno and swearing. Really find that it cheapens the movie. Sad thing is that those scenes and the language are not even needed to make it a great story. This is my main point, these things are not needed, so why put them in? I mean what value do those scenes add? The F-word also feels like a modern word which should be left out of medieval stories. Perfect example of a great fantasy story is Lord of the Rings. Had none of that and it is one of the greatest movie's ever. It is a shame it looked like the story has so much potential was really into it until enough got enough."
490,"Charles Dance said in an interview with some gentle sarcasm that he would not read the books because they are too heavy to hold. That tells it all: great artists and filmmakers are doing their best to make an HBO quality show from a pulp fiction fantasy.

The story doesn't really go anywhere, characters can be killed anytime, new characters can be introduced as well, and the fantasy world is very far from believable. The budget can never be high enough to produce more than a couple of outstanding action scenes in one season so the writers (David Benioff has seen better days: 25th Hour, Troy) have to fill the gaps with long, never-ending and quite uninteresting conversations.

But, fortunately, the greatest stage actors also need the pay, so we can watch an amazing cast: Sean Bean, Peter Dinklage, Michelle Fairley, Carice Van Houten, the above mentioned Charles Dance and so on. Their presence worth watching the show.

Aside from that this is one of the weakest series of HBO, not even close to the quality of The Wire, Boardwalk Empire or Six Feet Under. The show could have told us something about human nature, power, politics, love, religion, faith and chaos, but instead of these we get a lot of nudity, pointless violence, and some Hollywood clichés.

You can say, it's just entertainment, so be it, but it still doesn't deserve more than 6 stars out of 10."
491,"Awful, awful, awful.

Firstly, the story takes a millennia to get going and after 3 episodes I was bored with the lack of solid storyline. I also became tired of the gratuitous foul language and sex scenes which for a fantasy drama were totally unnecessary, over the top and always in bad taste.

I haven't read the books and I'm not likely to now. It seems like either the author or the screenplay writer have a penchant to show as much female flesh as possible, portray women as mere sex objects and degrade females as much as possible by addressing them with slang and offensive names for female genitalia.

This series needs to go in the bin. Absolute rubbish."
492,"End of the first season : 10 episodes for about 10 hours. And what did it happen ? Almost nothing. One-dimensional stereotyped characters ""we don't care"" lost in infinite boring dialogs and a simple story who can stand in a stamp (I don't know about the books but I hope it's more consistent). But you could say ""forget the story, it's question of atmosphere"". OK. Look inside : the decor are cardboard made and look fake. And you often stay inside because outside it's not so easy to cheat. Also this is not an heroic fantasy story. There is no fantasy at all... except at the end of the last minute of the last episode. Before it's just like middle-age. Medieval stuff (sorry Dardaryen steel looks like ordinary steel) and barbarians ways (with a touch of dismemberment). Of course you have free nudity but completely pointless.

To sum up it's a very mediocre entertainment you have to avoid at all cost not to lost 10 precious hours of your life ! So do something else..."
493,"So for you people that want to write reviews or just leave a review rating, just say this show is a 10 and compare that show to this. Because this is a masterpiece. My father didn't ever like anything that could be fake, I showed him 1 episode and he was knowing more things about the show than I did and I loved it! For him to be into this show is like having a Snake and Mongoose being friends, unbelievable. That just shows the amazingness of this show. For someone that doesn't watch or is interest in fantasy or sci fi and actually love it. It shows a lot. I've been watching since I was 22 and my father at 54. So that shows that any age will love this."
494,"It's barely recognizable as coming from the source material, and the acting is a grab bag of good or abysmal. So much content, some of it very important, was cut altogether in order to craft a shody and fairly basic narrative. In spite of the massive budget of seasons 3-7 the show feels cheap."
495,"So I didn't have HBO and they offered it for free and I decided to watch GoT. At first it was interesting and it had promise, but then it quickly turned in to shock jock value.

Boobs are nice, but are they really needed? Sex? Why do you need it? Sure violence exists, but is it really needed? Bloodshed? sure but why so much of it? Is there not enough story and dialog to carry the show? Is all this other shock value to fill the emptiness.

I've watched a lot of movies and read a lot of books, but this isn't on the top of my list. There is some interesting crossover arcs with the story, there are some characters I want to see die, others that I want to see succeed. However that is about it with the first season.

I'll continue watching, but I don't expect it to be any better. It's cookie cutter stuff with out any real substance

(edit)

Just watched an episode which had some fighting. I'm familiar with ancient combat, weapons and armor. The scene was so completely unrealistic it was laughable. So much so I'm taking off two other stars.

This show uses deus ex machina too much. They need something to happen, so they just WHAM! kill some people, show some blood, have some sex.

(edit) So I noticed that they tend to repeat the story line a lot in the first season. I hope this is the case for the rest of the show.

To give you a small example. I watched the first three episodes and started to get a little bored. The show wasn't really progressing forward and seemed to stall.

By the fourth episode the show literally started to repeat scenes. I kept saying, hey that happened previously.

I went from episode #4 to #8 and didn't see anything new. It wasn't until the scene where the dance master fought the attackers that I found anything interesting.

And I thought these episodes were one hour long, but 3 1/2 minutes are a recap and intro, then there is 10 minutes at the end for some kind of director's dialog over what is happening in the show. These shows aren't even a full hour and they don't have enough content to fill it?"
496,"There is much intelligence evident in the writing for this series. The story is solid. But it's presented as something akin to The Lord Of The Rings, full of magic and wonder. It is not only boring and slow, this series, but it's relentlessly grim - like the daily news. I'd rather have the daily news. When I read it, I am looking for the info and expect it to be bad. When I'm looking for entertainment, while betrayal, destruction and good guys and gals loosing may be part of the story, I am not looking for only grim, which is what you get here. As for the supernatural and fantastic, it's next to non existent.

You have the odd shot of a cool looking kingdom and that's it. When it looks cool from a distance, once we get closer and behind the gates, there's the same old blah.

This isn't entertainment in any positive sense."
497,Dumbest show I've ever seen... Spend your time doing something worthwhile.
498,"With the exception of the first episode (due to terrible CGI blue- eyed monsters), I found the first series of this show quite gripping, with tense drama and witty dialogue.

The problem now is that it's more and more (and more) of the same, so what once seemed fresh and interesting seems hackneyed and boring.

Personally, the CGI always brings me out of the story, and the whole dragon-based/supernatural side of things, along with such scenes as the woodenly-acted Red Woman queefing a ghost out of her foofoo, just make me roll my eyes. If you like ridiculous CGI fantasy, clearly this will appeal.

Now, at season 6, we have hardly any of the wit and surprise of the earlier seasons, instead being left with lots of swearing, delivered by actors who don't seem like they can really be bothered any more. The scenes (now manifold) in faux-foreign tongues are embarrassing (perhaps this is a bit too subjective coming from me, as I am a linguist); in fact the whole thing is quite embarrassingly bad now.

I also had a realisation whilst watching S06E01, that this is basically Star Trek (NOT a good thing).

Actors now spend a lot of time stating literally what is happening or has just happened (""I did what I thought was right, and I got murdered for it, and now I'm back""...""He stabbed him in the back""...)."
499,"Unfortunately, after finishing seeing all the series, after all that wasted time, I can only say that it was the biggest rubbish I have EVER seen.....

And, I also have one advice for parents: keep it away from your children!!! As faraway as you can.... It is a disgusting image of a savage, primitive world, based solely on torturing people (mostly young women and children) and animals...."
500,"Well.... I just finished to watch the 2 episode of season 2 and I'm not impressed!! From the first few seconds of the first episode were that young boy have his face painted with black pen not mud (make up artist fault for sure) or the awful acting to the non attention to details. I really don't get it. Even the story is sooooooo predictable that it make me roll my eyes to see another American rubbish medieval series. This for me is a notch better than Zena warrior princess and that's mean not good. Please do not compare This to LOTR or you're dam too stupid to see the difference. I'm sure the books are fantastic to read but i hated the non attention to details in this series (people and places to clean, wolfs are husky dogs, clothes are to new and out of history context, etc....) but thanks for Sean Bean charisma and acting skills to make this series a bit more interesting then a pair of tits here and there. Anyway Not enough for me to watch the all series. Overall... great to watch as a teenager perhaps or if you don't care of the above. peace"
501,"I do not understand all the hype for this show. The first season is more about porn than anything else. Later that kinda fades away, and when characters are not walking naked it's actually s decent show. But that's it, i don't see anything special about it."
502,"50% of people watch this title because of the recommendation of the first 50%! In Iran, 90% of people watch and recommend this title because of Sex Senses and I'm sure about this one. I'm living with them trust me! This title is relying on its Sex Senses to keep the audience motivated. Full of negative points such as people behave like lying, flattering, drinking too much, treason, pay attention to pleasure houses, marching an army not just because of the sake of realms etc... Okay fine, all of these are correct on that specific era but there was Honor too and unfortunately, I don't see that too much! In the end, I have to say this title is not that BIG and EXCITING that the world says but it's worth to watch."
503,"Can't beleive how many people got into this show , watched the first 3 seasons and the i was dying from boardness , it has such a slow pace where each episode made me fall asleep !"
504,"You can have as many big stars in your film or series but it doesn't necessarily make it a winner. If you've seen The Cannonball Run 2 you'll understand where I'm coming from here.

I'm sure there are some quite good plots among the series and I won't criticise that, but the acting is unnecessary. When you go to see a play at a theatre the actors will, even if there supposed to emphasize whispering, will shout with much drama. This is so the people at the back of the audience can hear what's being said. You don't need to do this on television, they use microphones and the audience has a remote to control the audible volume. In Game of Thrones however, the actors have obviously forgotten they're no longer on a stage in front of a thousand people, so they carry on in the usual Shakespearean fashion and that for me completely vanquished any interest I may have otherwise had.

Now the thing I don't understand is this - the show has been on for about 5 years now, but it's only in the last year/18 months people have started talking about it. No wait, going f***ing mental about it. Why?! Why NOW!?

To some people this show has become a religion and that's fine, but they're also folk out there who enjoy voyeurism and that's umm....fine too."
505,"Game of Thrones is another one of those series that follows the trend of exploiting violence and sex to draw in an audience. Sex and violence would not, in themselves, be a problem, had they any context or relevance to the story of the development of the characters. Unfortunately, this is not the case here.

The series follows the story of a number of 'noble families' with fights for power and political intrigue occurring against a backdrop of a fabulous and fantastic world. The premise has potential, however the result is poor. The story is predictable and has been covered from a number of angles. The characters are one-dimensional, either good or bad, no in-between. The only exception to this being Tyrion Lannister, who makes quite an interesting character. There is a constant display of gratuitous violence that is displayed as if normal for the time. Seeing that this is fantasy, there is no historical accuracy to maintain, the violence and sexuality displayed are merely a choice of the writers and not historical depictions of a time and place that does not exist in the first place.

Also worrying is the normalisation of the mistreatment of women. Not only there are numerous prostitutes to pleasure the men in many occasions (and not useful for anything else), women are often referred to as 'whores'. It begs belief that this sort of misogynistic behaviour, which is offered as that of 'noble men' and therefore normalised, does not raise eyebrows or even disgust but instead praise and a number of Golden Globe nominations.

The acting is far from fantastic and what is it with those English accents coming up randomly? There are instances where the series shows potential and the characters display interesting and unexpected behaviour. Unfortunately this is not as often as it could be to support such as basic story."
506,"Let me begin by saying, I hated this series. My two daughters love it, but I don't want them to watch it any longer.

The only thing I remember from first season were tits. You can't create a series with only boobs in it. The story was very thin and it was confusing. There were too many characters in the movie. I didn't see any epic battles whatsoever. I expected Nightwalkers and Dragons all over the place. Instead, I, and I stress, see boobs. Only boobs. It was depressing, because my wife was jealous. She was so jealous that she went to have plastic surgery. It was a total nightmare in my opinion.

The blond girl, she was like 14. They dwarf was annoyingly short for my taste. And they all acted like they were from the medieval times. I simply can say, I hated this series.

But people seem to love it. And I don't blame for being short minded."
507,"Each week during ""Game of Thrones"" season, millions wait until Sunday nights to enter a world full of lust, violence, politics, power, and fantasy. This series is unlike anything ever done in the history of television, captivating audiences across the globe due to its magnificent content, brilliant writing, and highly entertaining medium. ""Game of Thrones"" is an adaptation of George R.R. Martin's ""A Song of Ice and Fire"" series, a ferociously original fantasy series that twists and turns away from traditional fantasy and creates a more authentic and genuine portrayal of a diverse and creative medieval fantasy universe. Set in Westeros and Essos, two mythical kingdoms, HBO delivers us a world unlike anything. Not only does the network offer groundbreaking visual elements such as CGI dragons, ice zombies, large-scale battles and state of the art costume and production, but they manage to make it feel real. You hardly realize you're watching a fantasy show. You get so engrossed in all the families and characters that it's hard to not care about everyone everywhere during every episode. With phenomenal performances and legendary characters, it's safe to say that there will never be a TV series this amazing ever made. ""Game of Thrones"" isn't just a show or a story. It's a culture that takes us far away and lets us experience a diverse amount of people in unthinkable locations, yet stays close to home with something everyone can relate to."
508,"This is the best season that has ever been aired for a long long time.What makes it so special is that every person who sees this season can gaze in its vast ocean of characters and find the one character that echos his personality that is the mirror image of his own self.

Rather than being showing a romantic,hollow and masked portrayal it is rude,bold,passionate,naked and above all the true depiction of the world.Where the wars are not as simple as it seems and love is not happy endings, marriages are held together not by love but by fear,anger,lust and children.Where kingdoms rise and fall on the deceit of men hungry for either power,glory or gold.Where honor to some means more than life but to others just a bunch of hollow words.

This season is a masterclass and i can easily say it is the Mozart of television.This season will pass the test of time for generations to watch the curious ways of the Game of Thrones"
509,"Saw series one & was SO impressed by the quality of the plot & the acting that i went straight out & bought the series of books (6 with 2 still to be written). Unfortunately, from book 2 onwards the books do not keep up any sort of pace & could easily have been condensed into 2 or 3 volumes. So, enjoy the TV series which is very true to the books (except that most of the main characters are portrayed as being twice as old as they were written). Yes there is lots of sex & violence, but not more than would be expected at that time in (fictional) history. This is ""Sparticus blood & sand"" NOT ""Zena warrior princess"" Series 2 is looking just as good. Hope this helps."
